Group,Year,OccRm
Formula,1223,180.8256276
Formula,1224,183.9460314
Formula,1225,187.1202822
Formula,1226,190.3493092
Formula,1227,193.6340577
Formula,1228,196.9754892
Formula,1229,200.3745818
Formula,1230,203.8323307
Formula,1231,207.3497479
Formula,1232,210.9278631
Formula,1233,214.5677239
Formula,1234,218.2703956
Formula,1235,222.0369622
Formula,1236,225.8685263
Formula,1237,229.7662094
Formula,1238,233.7311527
Formula,1239,237.7645167
Formula,1240,241.8674821
Formula,1241,246.04125
Formula,1242,250.2870423
Formula,1243,254.6061017
Formula,1244,258.9996927
Formula,1245,263.4691013
Formula,1246,268.015636
Formula,1247,272.6406276
Formula,1248,277.34543
Formula,1249,282.1314204
Formula,1250,287
Simulated,1000,27
Simulated,1001,27
Simulated,1002,27
Simulated,1003,28
Simulated,1004,28
Simulated,1005,28
Simulated,1006,28
Simulated,1007,29
Simulated,1008,29
Simulated,1009,29
Simulated,1010,29
Simulated,1011,30
Simulated,1012,30
Simulated,1013,30
Simulated,1014,31
Simulated,1015,31
Simulated,1016,31
Simulated,1017,31
Simulated,1018,32
Simulated,1019,32
Simulated,1020,32
Simulated,1021,32
Simulated,1022,33
Simulated,1023,33
Simulated,1024,33
Simulated,1025,34
Simulated,1026,34
Simulated,1027,34
Simulated,1028,34
Simulated,1029,35
Simulated,1030,35
Simulated,1031,35
Simulated,1032,36
Simulated,1033,36
Simulated,1034,36
Simulated,1035,37
Simulated,1036,37
Simulated,1037,37
Simulated,1038,38
Simulated,1039,38
Simulated,1040,38
Simulated,1041,39
Simulated,1042,39
Simulated,1043,39
Simulated,1044,40
Simulated,1045,40
Simulated,1046,40
Simulated,1047,41
Simulated,1048,41
Simulated,1049,41
Simulated,1050,42
Simulated,1051,42
Simulated,1052,42
Simulated,1053,42
Simulated,1054,43
Simulated,1055,43
Simulated,1056,43
Simulated,1057,43
Simulated,1058,44
Simulated,1059,44
Simulated,1060,44
Simulated,1061,44
Simulated,1062,45
Simulated,1063,45
Simulated,1064,45
Simulated,1065,45
Simulated,1066,45
Simulated,1067,46
Simulated,1068,46
Simulated,1069,46
Simulated,1070,46
Simulated,1071,47
Simulated,1072,47
Simulated,1073,47
Simulated,1074,47
Simulated,1075,48
Simulated,1076,48
Simulated,1077,48
Simulated,1078,48
Simulated,1079,49
Simulated,1080,49
Simulated,1081,49
Simulated,1082,49
Simulated,1083,50
Simulated,1084,50
Simulated,1085,50
Simulated,1086,51
Simulated,1087,51
Simulated,1088,51
Simulated,1089,51
Simulated,1090,52
Simulated,1091,52
Simulated,1092,52
Simulated,1093,52
Simulated,1094,53
Simulated,1095,53
Simulated,1096,53
Simulated,1097,54
Simulated,1098,54
Simulated,1099,54
Simulated,1100,54
Simulated,1101,55
Simulated,1102,55
Simulated,1103,55
Simulated,1104,56
Simulated,1105,56
Simulated,1106,56
Simulated,1107,56
Simulated,1108,57
Simulated,1109,57
Simulated,1110,57
Simulated,1111,58
Simulated,1112,58
Simulated,1113,58
Simulated,1114,59
Simulated,1115,59
Simulated,1116,59
Simulated,1117,59
Simulated,1118,60
Simulated,1119,60
Simulated,1120,60
Simulated,1121,61
Simulated,1122,61
Simulated,1123,61
Simulated,1124,62
Simulated,1125,62
Simulated,1126,61
Simulated,1127,60
Simulated,1128,58
Simulated,1129,57
Simulated,1130,56
Simulated,1131,55
Simulated,1132,54
Simulated,1133,53
Simulated,1134,52
Simulated,1135,51
Simulated,1136,50
Simulated,1137,49
Simulated,1138,48
Simulated,1139,47
Simulated,1140,46
Simulated,1141,45
Simulated,1142,44
Simulated,1143,43
Simulated,1144,42
Simulated,1145,42
Simulated,1146,41
Simulated,1147,40
Simulated,1148,39
Simulated,1149,38
Simulated,1150,38
Simulated,1151,37
Simulated,1152,36
Simulated,1153,36
Simulated,1154,35
Simulated,1155,34
Simulated,1156,33
Simulated,1157,33
Simulated,1158,32
Simulated,1159,32
Simulated,1160,31
Simulated,1161,30
Simulated,1162,30
Simulated,1163,29
Simulated,1164,29
Simulated,1165,28
Simulated,1166,27
Simulated,1167,27
Simulated,1168,26
Simulated,1169,26
Simulated,1170,25
Simulated,1171,25
Simulated,1172,24
Simulated,1173,24
Simulated,1174,23
Simulated,1175,23
Simulated,1176,24
Simulated,1177,26
Simulated,1178,27
Simulated,1179,29
Simulated,1180,30
Simulated,1181,32
Simulated,1182,34
Simulated,1183,36
Simulated,1184,38
Simulated,1185,40
Simulated,1186,43
Simulated,1187,45
Simulated,1188,48
Simulated,1189,51
Simulated,1190,54
Simulated,1191,57
Simulated,1192,60
Simulated,1193,63
Simulated,1194,67
Simulated,1195,71
Simulated,1196,75
Simulated,1197,79
Simulated,1198,84
Simulated,1199,89
Simulated,1200,94
Simulated,1201,100
Simulated,1202,105
Simulated,1203,112
Simulated,1204,118
Simulated,1205,125
Simulated,1206,132
Simulated,1207,140
Simulated,1208,148
Simulated,1209,157
Simulated,1210,166
Simulated,1211,175
Simulated,1212,185
Simulated,1213,196
Simulated,1214,208
Simulated,1215,220
Simulated,1216,232
Simulated,1217,246
Simulated,1218,260
Simulated,1219,275
Simulated,1220,291
Simulated,1221,308
Simulated,1222,326
Simulated,1223,345
Simulated,1224,365
Simulated,1225,387
Simulated,1226,377
Simulated,1227,368
Simulated,1228,359
Simulated,1229,350
Simulated,1230,342
Simulated,1231,334
Simulated,1232,326
Simulated,1233,318
Simulated,1234,310
Simulated,1235,303
Simulated,1236,295
Simulated,1237,288
Simulated,1238,281
Simulated,1239,274
Simulated,1240,268
Simulated,1241,261
Simulated,1242,255
Simulated,1243,249
Simulated,1244,243
Simulated,1245,237
Simulated,1246,231
Simulated,1247,226
Simulated,1248,220
Simulated,1249,215
Simulated,1250,210
Simulated,1251,205
Simulated,1252,200
Simulated,1253,195
Simulated,1254,190
Simulated,1255,185
Simulated,1256,181
Simulated,1257,177
Simulated,1258,172
Simulated,1259,168
Simulated,1260,164
Simulated,1261,160
Simulated,1262,156
Simulated,1263,152
Simulated,1264,149
Simulated,1265,145
Simulated,1266,142
Simulated,1267,138
Simulated,1268,135
Simulated,1269,132
Simulated,1270,128
Simulated,1271,125
Simulated,1272,122
Simulated,1273,119
Simulated,1274,116
Simulated,1275,114
