UseLife,UseSD,InitRm,Year,OccRm
 15,  0.0,   23,  697,37
 15,  0.0,   23,  698,37
 15,  0.0,   23,  699,37
 15,  0.0,   23,  700,37
 15,  0.0,   23,  701,37
 15,  0.0,   23,  702,37
 15,  0.0,   23,  703,37
 15,  0.0,   23,  704,37
 15,  0.0,   23,  705,37
 15,  0.0,   23,  706,37
 15,  0.0,   23,  707,37
 15,  0.0,   23,  708,37
 15,  0.0,   23,  709,37
 15,  0.0,   23,  710,38
 15,  0.0,   23,  711,38
 15,  0.0,   23,  712,38
 15,  0.0,   23,  713,38
 15,  0.0,   23,  714,38
 15,  0.0,   23,  715,38
 15,  0.0,   23,  716,38
 15,  0.0,   23,  717,38
 15,  0.0,   23,  718,38
 15,  0.0,   23,  719,38
 15,  0.0,   23,  720,38
 15,  0.0,   23,  721,38
 15,  0.0,   23,  722,38
 15,  0.0,   23,  723,38
 15,  0.0,   23,  724,38
 15,  0.0,   23,  725,38
 15,  0.0,   23,  726,38
 15,  0.0,   23,  727,38
 15,  0.0,   23,  728,38
 15,  0.0,   23,  729,38
 15,  0.0,   23,  730,38
 15,  0.0,   23,  731,38
 15,  0.0,   23,  732,38
 15,  0.0,   23,  733,38
 15,  0.0,   23,  734,38
 15,  0.0,   23,  735,38
 15,  0.0,   23,  736,39
 15,  0.0,   23,  737,39
 15,  0.0,   23,  738,39
 15,  0.0,   23,  739,39
 15,  0.0,   23,  740,39
 15,  0.0,   23,  741,39
 15,  0.0,   23,  742,39
 15,  0.0,   23,  743,39
 15,  0.0,   23,  744,39
 15,  0.0,   23,  745,39
 15,  0.0,   23,  746,39
 15,  0.0,   23,  747,39
 15,  0.0,   23,  748,39
 15,  0.0,   23,  749,39
 15,  0.0,   23,  750,39
 15,  0.0,   23,  751,39
 15,  0.0,   23,  752,39
 15,  0.0,   23,  753,39
 15,  0.0,   23,  754,39
 15,  0.0,   23,  755,39
 15,  0.0,   23,  756,39
 15,  0.0,   23,  757,39
 15,  0.0,   23,  758,39
 15,  0.0,   23,  759,39
 15,  0.0,   23,  760,40
 15,  0.0,   23,  761,40
 15,  0.0,   23,  762,40
 15,  0.0,   23,  763,40
 15,  0.0,   23,  764,40
 15,  0.0,   23,  765,40
 15,  0.0,   23,  766,40
 15,  0.0,   23,  767,40
 15,  0.0,   23,  768,40
 15,  0.0,   23,  769,40
 15,  0.0,   23,  770,40
 15,  0.0,   23,  771,40
 15,  0.0,   23,  772,40
 15,  0.0,   23,  773,40
 15,  0.0,   23,  774,40
 15,  0.0,   23,  775,40
 15,  0.0,   23,  776,40
 15,  0.0,   23,  777,40
 15,  0.0,   23,  778,40
 15,  0.0,   23,  779,40
 15,  0.0,   23,  780,40
 15,  0.0,   23,  781,40
 15,  0.0,   23,  782,40
 15,  0.0,   23,  783,40
 15,  0.0,   23,  784,40
 15,  0.0,   23,  785,41
 15,  0.0,   23,  786,41
 15,  0.0,   23,  787,41
 15,  0.0,   23,  788,41
 15,  0.0,   23,  789,41
 15,  0.0,   23,  790,41
 15,  0.0,   23,  791,41
 15,  0.0,   23,  792,41
 15,  0.0,   23,  793,41
 15,  0.0,   23,  794,41
 15,  0.0,   23,  795,41
 15,  0.0,   23,  796,41
 15,  0.0,   23,  797,41
 15,  0.0,   23,  798,41
 15,  0.0,   23,  799,41
 15,  0.0,   23,  800,41
 15,  0.0,   23,  801,41
 15,  0.0,   23,  802,41
 15,  0.0,   23,  803,41
 15,  0.0,   23,  804,41
 15,  0.0,   23,  805,41
 15,  0.0,   23,  806,41
 15,  0.0,   23,  807,41
 15,  0.0,   23,  808,42
 15,  0.0,   23,  809,42
 15,  0.0,   23,  810,42
 15,  0.0,   23,  811,42
 15,  0.0,   23,  812,42
 15,  0.0,   23,  813,42
 15,  0.0,   23,  814,42
 15,  0.0,   23,  815,42
 15,  0.0,   23,  816,42
 15,  0.0,   23,  817,42
 15,  0.0,   23,  818,42
 15,  0.0,   23,  819,42
 15,  0.0,   23,  820,42
 15,  0.0,   23,  821,42
 15,  0.0,   23,  822,42
 15,  0.0,   23,  823,42
 15,  0.0,   23,  824,42
 15,  0.0,   23,  825,42
 15,  0.0,   23,  826,42
 15,  0.0,   23,  827,42
 15,  0.0,   23,  828,42
 15,  0.0,   23,  829,42
 15,  0.0,   23,  830,42
 15,  0.0,   23,  831,43
 15,  0.0,   23,  832,43
 15,  0.0,   23,  833,43
 15,  0.0,   23,  834,43
 15,  0.0,   23,  835,43
 15,  0.0,   23,  836,43
 15,  0.0,   23,  837,43
 15,  0.0,   23,  838,43
 15,  0.0,   23,  839,43
 15,  0.0,   23,  840,43
 15,  0.0,   23,  841,43
 15,  0.0,   23,  842,43
 15,  0.0,   23,  843,43
 15,  0.0,   23,  844,43
 15,  0.0,   23,  845,43
 15,  0.0,   23,  846,43
 15,  0.0,   23,  847,43
 15,  0.0,   23,  848,43
 15,  0.0,   23,  849,43
 15,  0.0,   23,  850,43
 15,  0.0,   23,  851,43
 15,  0.0,   23,  852,43
 15,  0.0,   23,  853,43
 15,  0.0,   23,  854,44
 15,  0.0,   23,  855,44
 15,  0.0,   23,  856,44
 15,  0.0,   23,  857,44
 15,  0.0,   23,  858,44
 15,  0.0,   23,  859,44
 15,  0.0,   23,  860,44
 15,  0.0,   23,  861,44
 15,  0.0,   23,  862,44
 15,  0.0,   23,  863,44
 15,  0.0,   23,  864,44
 15,  0.0,   23,  865,44
 15,  0.0,   23,  866,44
 15,  0.0,   23,  867,44
 15,  0.0,   23,  868,44
 15,  0.0,   23,  869,44
 15,  0.0,   23,  870,44
 15,  0.0,   23,  871,44
 15,  0.0,   23,  872,44
 15,  0.0,   23,  873,44
 15,  0.0,   23,  874,44
 15,  0.0,   23,  875,44
 15,  0.0,   23,  876,45
 15,  0.0,   23,  877,45
 15,  0.0,   23,  878,45
 15,  0.0,   23,  879,45
 15,  0.0,   23,  880,45
 15,  0.0,   23,  881,45
 15,  0.0,   23,  882,45
 15,  0.0,   23,  883,45
 15,  0.0,   23,  884,45
 15,  0.0,   23,  885,45
 15,  0.0,   23,  886,45
 15,  0.0,   23,  887,45
 15,  0.0,   23,  888,45
 15,  0.0,   23,  889,45
 15,  0.0,   23,  890,45
 15,  0.0,   23,  891,45
 15,  0.0,   23,  892,45
 15,  0.0,   23,  893,45
 15,  0.0,   23,  894,45
 15,  0.0,   23,  895,45
 15,  0.0,   23,  896,45
 15,  0.0,   23,  897,46
 15,  0.0,   23,  898,46
 15,  0.0,   23,  899,46
 15,  0.0,   23,  900,46
 15,  0.0,   23,  901,46
 15,  0.0,   23,  902,46
 15,  0.0,   23,  903,46
 15,  0.0,   23,  904,46
 15,  0.0,   23,  905,46
 15,  0.0,   23,  906,46
 15,  0.0,   23,  907,46
 15,  0.0,   23,  908,46
 15,  0.0,   23,  909,46
 15,  0.0,   23,  910,46
 15,  0.0,   23,  911,46
 15,  0.0,   23,  912,46
 15,  0.0,   23,  913,46
 15,  0.0,   23,  914,46
 15,  0.0,   23,  915,46
 15,  0.0,   23,  916,46
 15,  0.0,   23,  917,46
 15,  0.0,   23,  918,47
 15,  0.0,   23,  919,47
 15,  0.0,   23,  920,47
 15,  0.0,   23,  921,47
 15,  0.0,   23,  922,47
 15,  0.0,   23,  923,47
 15,  0.0,   23,  924,47
 15,  0.0,   23,  925,47
 15,  0.0,   23,  926,47
 15,  0.0,   23,  927,47
 15,  0.0,   23,  928,47
 15,  0.0,   23,  929,47
 15,  0.0,   23,  930,47
 15,  0.0,   23,  931,47
 15,  0.0,   23,  932,47
 15,  0.0,   23,  933,47
 15,  0.0,   23,  934,47
 15,  0.0,   23,  935,47
 15,  0.0,   23,  936,47
 15,  0.0,   23,  937,47
 15,  0.0,   23,  938,47
 15,  0.0,   23,  939,48
 15,  0.0,   23,  940,48
 15,  0.0,   23,  941,48
 15,  0.0,   23,  942,48
 15,  0.0,   23,  943,48
 15,  0.0,   23,  944,48
 15,  0.0,   23,  945,48
 15,  0.0,   23,  946,48
 15,  0.0,   23,  947,48
 15,  0.0,   23,  948,48
 15,  0.0,   23,  949,48
 15,  0.0,   23,  950,48
 15,  0.0,   23,  951,48
 15,  0.0,   23,  952,48
 15,  0.0,   23,  953,48
 15,  0.0,   23,  954,48
 15,  0.0,   23,  955,48
 15,  0.0,   23,  956,48
 15,  0.0,   23,  957,48
 15,  0.0,   23,  958,48
 15,  0.0,   23,  959,49
 15,  0.0,   23,  960,49
 15,  0.0,   23,  961,49
 15,  0.0,   23,  962,49
 15,  0.0,   23,  963,49
 15,  0.0,   23,  964,49
 15,  0.0,   23,  965,49
 15,  0.0,   23,  966,49
 15,  0.0,   23,  967,49
 15,  0.0,   23,  968,49
 15,  0.0,   23,  969,49
 15,  0.0,   23,  970,49
 15,  0.0,   23,  971,49
 15,  0.0,   23,  972,49
 15,  0.0,   23,  973,49
 15,  0.0,   23,  974,49
 15,  0.0,   23,  975,49
 15,  0.0,   23,  976,49
 15,  0.0,   23,  977,49
 15,  0.0,   23,  978,50
 15,  0.0,   23,  979,50
 15,  0.0,   23,  980,50
 15,  0.0,   23,  981,50
 15,  0.0,   23,  982,50
 15,  0.0,   23,  983,50
 15,  0.0,   23,  984,50
 15,  0.0,   23,  985,50
 15,  0.0,   23,  986,50
 15,  0.0,   23,  987,50
 15,  0.0,   23,  988,50
 15,  0.0,   23,  989,50
 15,  0.0,   23,  990,50
 15,  0.0,   23,  991,50
 15,  0.0,   23,  992,50
 15,  0.0,   23,  993,50
 15,  0.0,   23,  994,50
 15,  0.0,   23,  995,50
 15,  0.0,   23,  996,50
 15,  0.0,   23,  997,50
 15,  0.0,   23,  998,51
 15,  0.0,   23,  999,51
 15,  0.0,   23, 1000,51
 15,  0.0,   23, 1001,52
 15,  0.0,   23, 1002,53
 15,  0.0,   23, 1003,54
 15,  0.0,   23, 1004,55
 15,  0.0,   23, 1005,57
 15,  0.0,   23, 1006,58
 15,  0.0,   23, 1007,59
 15,  0.0,   23, 1008,60
 15,  0.0,   23, 1009,62
 15,  0.0,   23, 1010,63
 15,  0.0,   23, 1011,65
 15,  0.0,   23, 1012,66
 15,  0.0,   23, 1013,68
 15,  0.0,   23, 1014,69
 15,  0.0,   23, 1015,71
 15,  0.0,   23, 1016,72
 15,  0.0,   23, 1017,74
 15,  0.0,   23, 1018,76
 15,  0.0,   23, 1019,77
 15,  0.0,   23, 1020,79
 15,  0.0,   23, 1021,81
 15,  0.0,   23, 1022,83
 15,  0.0,   23, 1023,84
 15,  0.0,   23, 1024,86
 15,  0.0,   23, 1025,88
 15,  0.0,   23, 1026,90
 15,  0.0,   23, 1027,92
 15,  0.0,   23, 1028,94
 15,  0.0,   23, 1029,96
 15,  0.0,   23, 1030,99
 15,  0.0,   23, 1031,101
 15,  0.0,   23, 1032,103
 15,  0.0,   23, 1033,105
 15,  0.0,   23, 1034,108
 15,  0.0,   23, 1035,110
 15,  0.0,   23, 1036,113
 15,  0.0,   23, 1037,115
 15,  0.0,   23, 1038,118
 15,  0.0,   23, 1039,120
 15,  0.0,   23, 1040,123
 15,  0.0,   23, 1041,126
 15,  0.0,   23, 1042,129
 15,  0.0,   23, 1043,132
 15,  0.0,   23, 1044,135
 15,  0.0,   23, 1045,138
 15,  0.0,   23, 1046,141
 15,  0.0,   23, 1047,144
 15,  0.0,   23, 1048,147
 15,  0.0,   23, 1049,150
 15,  0.0,   23, 1050,154
 15,  0.0,   23, 1051,157
 15,  0.0,   23, 1052,161
 15,  0.0,   23, 1053,164
 15,  0.0,   23, 1054,168
 15,  0.0,   23, 1055,172
 15,  0.0,   23, 1056,176
 15,  0.0,   23, 1057,180
 15,  0.0,   23, 1058,184
 15,  0.0,   23, 1059,188
 15,  0.0,   23, 1060,192
 15,  0.0,   23, 1061,196
 15,  0.0,   23, 1062,201
 15,  0.0,   23, 1063,205
 15,  0.0,   23, 1064,210
 15,  0.0,   23, 1065,215
